,0,1,2
0,4395868.068941537,3081124.4435732816,3433158.105526769
1,4396114.286241718,3080923.0918859662,3433100.2176150596
2,4395766.726601508,3080782.057755188,3433585.5416578897
3,4395103.311794122,3080650.4243318797,3434254.951276663
4,4397410.328114891,3079683.3982182043,3432846.4495387203
5,4397150.695848967,3081674.643803129,3431535.2434218097
