,0
0,-0.10184741554110133
1,-0.06314140192569084
2,-0.0525501058430109
3,-0.11272664586613246
4,-0.07715507736725158
5,-0.052688048762092876
6,-0.0060792303247581
7,-0.011513675441619853
8,0.0023620570809725905
9,0.06479261330366626
10,0.04827669162378356
11,0.055418773497649454
12,0.027147458502668087
13,0.026147940887540244
14,0.02706392002028224
15,-0.03544515480098198
16,-0.020628750736250367
17,-0.025654853477135475
18,-0.032107249312048225
19,-0.015217162723843103
20,-0.028806750170815576
21,0.03686592447610337
22,0.023515075294653798
23,0.02851691055820993
24,0.06777317378828229
25,0.036332238018530916
26,0.05212366072908026
27,0.05605997115522143
28,0.04708190645055765
29,0.05303112065939786
30,0.02725846227258444
31,0.021426718216389418
32,0.021873231045901775
33,0.028101508505642414
34,0.026955188252031803
35,0.031957889907062054
36,0.013458462432026863
37,0.005226718261837959
38,0.01507323095574975
39,0.0619001803457877
40,0.0460126846141975
41,0.05858829050883685
42,0.029641717672348022
43,0.009985966142266989
44,0.018715059850364923
